english;0.1036;6.2318;10.0127;20.6498;6.1403;34.3020;18.5434;4.0164;175.2162
english;0.2233;6.8973;11.4824;19.0948;7.7566;33.6938;16.8449;4.0068;160.2187
english;0.1293;7.0406;10.7974;20.1352;7.3549;33.7517;17.0654;3.7254;163.1102
english;0.1412;6.5608;12.5201;19.8833;6.8380;32.8133;17.4612;3.7820;161.2444
english;0.1469;6.8208;10.4886;20.4370;7.4096;33.6323;17.3064;3.7584;161.9923
english;0.1636;6.8265;11.4161;19.6785;7.0934;32.9906;17.4166;4.4147;162.1921
english;0.0841;6.9537;9.3712;21.5195;7.4640;34.6160;15.9661;4.0255;166.2859
english;0.1499;6.9077;11.5350;19.9192;7.6400;33.1391;16.7734;3.9357;159.5520
english;0.2242;6.4318;11.7394;19.7412;6.6959;33.0556;18.0995;4.0124;167.1999
english;0.1864;6.4968;11.6395;20.5045;6.9447;33.6098;16.6483;3.9701;163.1164
english;0.0934;7.0123;11.1519;19.8979;7.0331;33.6965;17.4569;3.6579;163.0854
english;0.1522;6.0097;11.6748;20.1749;6.1730;33.1522;18.3295;4.3336;166.9381
english;0.1293;6.4978;10.2704;20.1937;7.0071;34.4079;17.2909;4.2030;168.9119
english;0.1895;6.7296;11.1842;19.7030;7.1684;33.4434;17.7081;3.8737;163.9769
english;0.1402;6.8499;10.7231;20.5906;7.4544;33.0200;16.8550;4.3669;162.5935
french;0.8665;12.5348;13.6812;16.1677;15.2650;25.6331;14.2233;1.6284;117.8051
french;1.2998;10.7661;14.1201;16.6853;12.8101;28.4311;14.3076;1.5798;123.2194
french;1.6130;10.9390;12.8988;17.7633;12.5245;27.2795;14.9080;2.0739;124.1207
french;1.5738;10.8768;13.0559;17.7866;12.3851;27.2655;14.9450;2.1113;124.2162
french;1.2322;11.5273;14.0011;16.5211;13.6578;26.4659;14.5344;2.0602;121.4239
french;1.5353;11.9743;14.0016;16.4315;13.6471;26.4068;14.3302;1.6733;121.3908
french;0.9436;11.4704;14.5659;15.9062;13.5650;27.3356;14.4584;1.7549;121.0165
french;0.7571;12.1400;13.6724;16.1641;14.7538;26.1510;14.5203;1.8414;119.1978
french;1.2328;11.4026;13.7066;16.9050;12.9734;27.1233;14.9546;1.7018;123.4984
french;1.1106;11.2138;13.8685;16.6555;13.3929;27.5716;14.4854;1.7018;121.6294
french;1.3247;10.4734;14.6641;16.9610;11.8541;28.4406;14.1251;2.1571;126.5870
french;1.0997;11.0952;14.8210;16.3442;12.9519;26.9172;14.9211;1.8497;121.5592
french;0.9900;11.7113;14.3788;16.3596;13.8155;26.2940;14.6869;1.7640;119.7541
french;1.1347;11.1932;13.2512;16.9473;13.4624;27.3683;14.9765;1.6663;122.3349
french;1.3160;10.4052;14.8289;16.4917;11.8531;29.1740;13.9918;1.9393;125.4797
german;0.1530;6.5730;9.1681;21.7783;6.7185;33.7153;15.0240;6.8697;159.8936
german;0.1370;6.3159;8.8979;22.4020;6.5482;33.7006;14.9990;6.9995;163.7433
german;0.1920;6.0110;8.6302;21.8705;6.0031;33.7946;15.8894;7.6092;166.3595
german;0.2283;6.9035;7.2314;23.1275;7.0553;33.7991;14.0700;7.5848;175.5098
german;0.1463;6.0154;8.8769;22.9562;5.8544;33.6933;15.1032;7.3544;168.1997
german;0.2367;6.2003;8.7796;21.2570;6.5678;33.5567;15.8545;7.5474;164.5402
german;0.2347;5.8508;9.0916;20.9938;6.2784;34.0553;16.1733;7.3220;165.5789
german;0.1745;6.5151;9.0212;21.2651;6.7606;33.8233;15.4992;6.9410;160.7883
german;0.1651;6.5972;9.2258;21.8489;6.3481;33.0838;15.3352;7.3958;164.1257
german;0.4419;6.5783;8.1733;21.9229;6.9112;34.7374;14.7895;6.4455;161.8739
german;0.1757;6.6299;9.2865;21.8291;6.5646;33.1204;15.5230;6.8709;160.6853
german;0.1949;6.6709;9.0601;21.7972;6.3849;33.0075;15.9061;6.9783;160.6598
german;0.1701;6.1771;9.1417;21.8440;6.3031;33.3451;15.9489;7.0700;163.0158
german;0.1634;6.0241;9.4446;21.5152;6.1885;33.3003;15.9957;7.3683;163.7340
turkish;0.0000;0.2498;23.7072;15.1886;0.1999;45.0412;15.1137;0.4996;136.3156
turkish;0.0194;0.4714;26.1422;13.8810;0.5120;44.9095;13.7957;0.2688;130.3958
turkish;0.0000;0.9009;24.3243;15.0150;0.7508;44.4444;14.5646;0.0000;131.8501
turkish;0.0000;0.1026;25.5385;14.1538;0.0000;45.3333;14.3590;0.5128;132.2900
turkish;0.0000;0.4212;25.6318;14.2599;0.3610;44.9458;14.3201;0.0602;130.7171
turkish;0.0000;0.2814;28.7563;12.1553;0.2251;46.3703;12.2116;0.0000;126.4398
turkish;0.0000;0.3566;24.7641;14.7685;0.4745;44.2533;15.2211;0.1618;132.0909
turkish;0.0000;0.6977;24.4767;15.1163;0.6395;43.4302;15.4070;0.2326;130.9953
turkish;0.0000;0.2217;25.0554;14.9667;0.3326;44.1242;15.2993;0.0000;131.3514
turkish;0.0000;0.4890;27.4537;12.9584;0.1746;46.0007;12.8187;0.1048;128.8239
turkish;0.0000;0.2452;26.1893;13.9774;0.2452;45.0221;13.9774;0.3433;131.3457
turkish;0.0000;0.1887;22.4528;16.9811;0.1887;42.8302;17.3585;0.0000;134.7267
turkish;0.0000;0.1916;26.4368;14.1762;0.1916;44.2529;14.3678;0.3831;128.8820
turkish;0.0000;0.0949;25.0474;15.3700;0.0949;43.2638;15.6546;0.4744;129.0469
turkish;0.0000;0.4049;25.7085;14.9798;0.4049;42.7126;14.9798;0.8097;129.3930
turkish;0.0000;0.0000;24.1007;16.5468;0.0000;42.6259;16.5468;0.1799;130.2857
turkish;0.0000;0.0553;25.6226;14.3331;0.1107;45.6004;14.2225;0.0553;131.6399
turkish;0.0000;0.3398;24.9515;15.3034;0.3155;43.5073;15.2184;0.3641;131.9182
turkish;0.0000;0.7154;22.2706;15.8942;0.7154;44.5101;15.6143;0.2799;136.8447
turkish;0.0000;0.0952;25.1429;15.1429;0.0952;44.7619;14.4762;0.2857;133.5962
turkish;0.0000;0.0000;26.7913;14.3302;0.3115;44.5483;14.0187;0.0000;127.3632
turkish;0.0000;0.6716;25.4197;14.5735;0.6716;44.1572;14.4392;0.0672;130.3885
turkish;0.0000;0.2823;25.5116;14.4319;0.1764;44.5660;14.5730;0.4587;131.4106
turkish;0.0000;0.7564;22.0121;16.7927;0.6051;41.8306;16.7927;1.2103;136.0394
turkish;0.0000;0.0644;27.1557;13.9640;0.0644;45.1737;13.4492;0.1287;130.2398
turkish;0.0000;0.1492;24.4885;15.3240;0.1492;44.4373;15.1961;0.2558;132.5843
turkish;0.0000;0.1547;26.2954;14.2305;0.1547;45.0116;14.1531;0.0000;130.8974
turkish;0.0000;0.6518;21.1825;16.1235;0.6518;45.3135;15.7821;0.2948;139.9602
turkish;0.0000;1.3078;26.2575;14.0845;1.0060;42.9577;13.9839;0.4024;127.7512
turkish;0.0000;1.9490;28.3358;11.9940;1.7991;43.9280;11.6942;0.2999;125.3589
turkish;0.0000;0.1623;22.7965;16.7166;0.1623;43.3583;16.4669;0.3371;133.6909
turkish;0.0221;0.1986;25.3972;15.2471;0.2648;43.0494;15.0706;0.7502;132.6568
turkish;0.0000;0.2082;27.4632;13.2945;0.2082;45.0319;13.5443;0.2498;127.9950
turkish;0.0000;0.2399;25.5151;14.9450;0.2540;43.6353;14.7897;0.6209;131.0977
turkish;0.0000;0.3270;25.1244;14.7874;0.3270;43.4950;14.7590;1.1802;133.2721
turkish;0.0000;0.2616;25.1000;14.7892;0.2616;44.0597;15.3586;0.1693;131.0867
turkish;0.0000;0.2859;25.0589;15.2035;0.3027;43.7773;15.1699;0.2018;131.7400
turkish;0.0000;0.2980;23.5618;16.3649;0.4355;42.2645;16.1815;0.8939;136.6777
turkish;0.0327;1.0689;25.2291;14.4961;1.2216;43.0192;14.2670;0.6654;131.2837
turkish;0.0000;0.8989;28.6186;12.8784;0.8989;43.6434;12.9884;0.0734;123.9409
turkish;0.0528;0.8455;28.6771;12.5066;0.8279;44.5658;12.4185;0.1057;125.6154
turkish;0.0000;0.7592;28.3514;12.1041;0.7375;45.4881;12.2343;0.3254;127.4013
turkish;0.0150;0.1202;25.8864;15.4147;0.1352;42.9387;15.2644;0.2254;127.8236
turkish;0.0000;0.4208;27.2090;13.6045;0.4208;44.0393;13.1837;1.1220;133.1111
turkish;0.0000;0.1855;25.9406;14.4674;0.2650;43.9057;14.8914;0.3445;130.2158
turkish;0.0000;0.4359;24.4461;15.5467;0.4722;42.8078;15.8554;0.4359;131.6114
turkish;0.0000;0.3035;25.7990;14.6760;0.4106;44.0279;14.4438;0.3392;130.9510
turkish;0.0000;0.0940;24.6356;15.3894;0.1097;44.2094;15.3581;0.2037;132.4202
turkish;0.0000;0.3392;25.2618;15.3517;0.4719;42.7518;14.6439;1.1798;132.8944
turkish;0.0000;0.4192;25.0419;15.2040;0.4472;42.1744;14.7568;1.9564;136.3917
turkish;0.0000;0.4864;26.4205;13.9730;0.5085;44.7048;13.7519;0.1548;129.5872
